inds,V1,V2,V3
1,4.171747323,3.917138587,6.677407857
1,1.62450084,2.612167798,4.010970561
1,2.709657123,2.794296765,4.336699188
2,0.536449402,0.861089283,1.309997425
2,0.507434585,0.978439916,1.536939634
2,0.947973462,1.853719957,3.294237649
3,0.195436544,0.61683921,1.526950653
3,0.131994934,0.642171055,1.122523652
3,0.126078893,0.769636077,1.40793932
4,1.266388623,1.512829863,2.052292815
4,3.667861481,3.174151387,5.140878068
4,2.660439744,4.037720785,5.538470306
5,1.837858589,2.895656081,2.121052684
5,0.690681112,1.171075864,0.468576797
5,0.729900146,1.156229208,0.850323267
6,1.497363444,2.272242202,2.715507585
6,3.93292616,5.954614017,6.077292585
6,1.115553828,2.274613757,2.498131753
7,3.262472134,6.0763802,6.754172514
7,3.839793704,5.966658439,7.43872226
7,2.863133803,2.980509513,4.223129259
8,3.190689912,4.661646963,3.332760585
8,1.025049166,1.254483969,1.527257723
8,2.394666732,4.135705247,4.31470024
9,1.66633575,1.178365631,1.947730446
9,0.533126991,0.468530361,0.67206625
9,0.906251673,0.813990468,1.189266684
10,0.729758536,0.652047795,1.839477059
10,1.362905745,1.150859874,3.035058993
10,0.789412019,0.497147702,1.421679252
11,1.712281514,3.216007033,3.784814335
11,6.136783161,10.51852592,12.66957353
11,3.175334454,7.262304308,9.18481358
12,1.413556802,0.903268243,1.080318899
12,2.25542298,1.502543814,1.321726709
12,2.741133979,1.834716967,1.71501403
13,3.300662531,4.357705015,5.087476163
13,0.55452706,2.089004352,2.18021267
13,0.367938692,0.825861066,0.811607846
14,1.775503049,1.271167267,1.451948785
14,3.938516146,2.890323228,2.254991956
14,1.450126997,1.803301213,1.602208808
15,2.647680876,1.253877496,1.869878526
15,2.923513017,2.401211646,2.571159143
15,2.063752203,1.46952693,2.38922788
16,2.622226517,2.771681726,3.729821198
16,3.225222768,4.290077799,4.904459385
16,5.17447449,6.792641344,7.374859597
17,1.529426172,2.018093027,2.929757665
17,1.201670711,0.940325384,1.510974827
17,5.592004205,4.085685574,7.20506489
18,2.005575099,3.602942656,6.519188536
18,1.54835647,2.376744537,3.344795191
18,2.024415694,2.593818194,4.366906855
19,3.191614379,3.005686802,4.681097052
19,1.524087289,1.662893541,2.298733205
19,2.094458777,2.160613077,3.157806086
20,0.688355821,0.734951416,1.215839935
20,3.001623758,3.350252157,5.811793359
20,2.442688005,3.636859941,5.554942661
21,0.834883466,0.939486137,0.944601108
21,1.894325561,2.02361014,2.488789235
21,4.927879837,5.046286521,5.767092526
22,1.021374272,1.225506902,1.108488984
22,0.959930822,1.524979112,1.077230715
22,1.780794495,3.127762905,2.502731087
23,2.359999168,2.365813295,3.447682451
23,2.620874613,2.048693657,3.43113684
23,3.112994481,3.403519881,4.896012167
24,1.597971766,2.747230354,2.592577829
24,1.075991127,2.17052823,2.475719329
24,0.856731912,2.222290745,2.792819566
25,8.7043527,8.349486739,11.01784741
25,2.598058558,2.398585457,3.922074406
25,1.848346277,0.989631329,2.75215421
26,1.77178539,1.529391757,1.897668787
26,1.222760095,2.01130731,2.003813888
26,2.982834348,3.079723974,2.971858756
27,0.539065681,1.332074625,1.811586185
27,0.693074446,0.878439111,1.473660176
27,1.468379195,1.4341096,1.711987506
28,10.95356298,8.804786833,8.865124767
28,4.826370883,4.237581778,3.99781533
28,3.101069889,2.6658896,2.591374522
29,4.156369553,4.882676687,7.288187056
29,4.356713957,5.071718051,5.573867269
29,2.360542842,2.237800033,3.341344768
30,4.476902332,4.1845541,4.985682097
30,3.982170433,10.03769859,11.4653438
30,5.082859278,8.049820991,10.10306634
31,3.091709127,1.583281217,2.912327731
31,2.976670655,1.815493786,2.966519126
31,4.248420585,2.271332386,4.090314956
32,2.842792268,3.490587259,5.082187046
32,2.821446673,3.19712128,4.539353784
32,1.109309991,1.236921931,1.79199085
33,2.164197509,2.370917003,2.602199824
33,5.229894414,6.103503265,5.31118178
33,5.245033747,4.767009843,5.237177362
34,1.416903903,2.223904359,2.142338001
34,1.220854891,2.873500158,3.158196166
34,2.496253322,3.528486293,4.395874485
35,3.707364967,5.155266679,3.850219319
35,2.572343059,3.028033636,3.035725513
35,6.230101816,4.549245105,6.150368669
36,2.328724,2.760658262,3.291787657
36,1.074995379,1.299253453,1.881599305
36,1.34396753,2.050920948,2.371591572
37,2.17445668,1.953054567,3.20084582
37,2.083345626,1.844010555,4.040691362
37,1.838871038,2.448678929,4.81682885
38,2.701911742,2.091685554,1.496127693
38,1.821761626,0.995919049,1.371734216
38,2.10301895,1.376534522,1.709767038
39,0.518667639,0.648943002,0.698055736
39,2.348337599,3.159766646,2.868893556
39,1.475643772,1.413317584,1.872210789
40,4.406855272,3.644307164,4.183602182
40,3.815291829,2.971054889,3.099314308
40,4.928235426,3.607580129,4.083767052
41,3.002521878,2.868978571,2.592400601
41,2.815568222,3.474848373,4.085622259
41,2.556292917,1.959409059,3.50924228
42,4.636724095,5.030383499,4.345418695
42,2.612121418,2.824153274,2.76486416
42,2.761534444,2.229498241,2.3138316
43,1.896436204,1.325360101,2.185354509
43,2.957698337,1.847423487,3.453904389
43,1.392549147,1.08216939,1.564471736
44,1.279162849,1.557649203,3.237499542
44,1.960712975,1.921597726,5.581254184
44,1.309407832,1.319852824,3.714492669
45,0.913248012,1.992820389,1.478962635
45,1.787701333,6.601528101,4.549321107
45,2.221450252,4.482695244,3.12420729
46,1.175864591,1.815908325,3.390815491
46,1.141452984,1.166266726,1.80600585
46,1.114941029,2.274990014,2.880944277
47,1.520329758,3.840388956,4.297874286
47,3.012253612,3.384320399,3.675466421
47,1.190784593,1.894747946,1.716331102
48,4.857248845,5.434489791,8.970950699
48,4.232039762,5.245870832,8.296205105
48,3.400156855,5.479349776,8.397699604
49,3.869527788,4.898984421,6.91181996
49,1.063998234,1.30440371,1.629249269
49,1.753626608,2.76464999,3.546538802
50,5.962263628,4.247141702,4.848959478
50,4.670199813,4.300154802,3.768236212
50,2.115994491,1.547471798,1.737230216
51,4.838128407,5.981520199,7.793731521
51,4.996858975,5.778332133,7.895306055
51,2.714847569,2.050934812,2.251513159
52,2.125813709,3.376127726,3.723780812
52,1.173241609,2.88910849,2.908571693
52,0.794736514,3.237168699,3.676899613
53,1.402693235,1.171301516,2.537538423
53,0.890767413,1.845667879,2.718416543
53,1.367976549,1.935874904,2.384934247
54,5.246506667,4.907743356,5.155810917
54,7.535064232,9.705569973,7.695528558
54,3.273714106,4.168984594,3.280729574
55,3.337853081,3.745646646,4.812523961
55,5.968161627,4.486208497,6.467997135
55,3.983681275,3.730838687,3.822399165
56,1.318621349,2.971890724,3.950845834
56,0.547619622,0.766212565,1.569039601
56,0.807171115,1.236275637,2.213788411
57,6.033682793,6.169496345,6.631220154
57,2.482949029,2.064006158,2.314611613
57,3.727817493,3.650796048,3.469185929
58,3.433682506,4.488520836,4.421584911
58,2.530053418,2.372756757,2.494314165
58,4.278052605,3.744236942,3.338780704
59,1.583846463,1.695351203,2.336921249
59,0.529084103,0.660813687,0.851735436
59,0.526407089,0.713741274,1.044272432
60,0.889286244,1.207535446,0.997017616
60,1.385197021,3.125706024,2.211686639
60,3.103058375,4.303971317,4.084645354
61,2.883823624,3.668174366,3.112054067
61,2.237252204,3.866733091,4.289627039
61,4.13114662,6.316029127,6.257861646
62,2.131412938,2.106616343,2.578102956
62,4.247185879,3.290627724,4.621800251
62,3.148388649,2.30347988,4.50339978
63,4.427786635,3.530931702,4.062183999
63,7.622072356,6.316176835,7.835676652
63,3.057110873,3.109398514,3.684038358
64,2.750813909,3.19836477,3.466843311
64,2.182441599,1.91525283,2.140997608
64,0.598265509,0.928188859,1.060349123
65,1.408459041,1.901542626,4.187931887
65,0.387035163,0.989947291,1.983664393
65,0.664660385,1.115124522,2.322427676
